Frage;A1Krone;A2Oesterreich;A3Heute;A4Standard;A5Presse;A6Kurier;A7WienerZ;A8Oe24at;A9OrfAt;A10Tv;A11Radio;A12Sonstiges;B1AlkoholDrogen;B2Sozielleistungen;B3Gruende;B4Demokratie;B5Verdienen;B6Integrieren;C7Unterstuetzen;C8SozBevorzugt;C9RechtePartei;C10ArbeitWeg;C11BedrohtPass;C12Krimineller;C13Brauche;C14InterKulturen;D0AnzNeg;E15Illegal;E16KeineLeistung;E17Faul;E18Krimineller;E19ArbeitWeg2;E20DeutschLernen;E21RueckOeBrauche;E22MeidenOe;F23FremderShop;F24AngstDunkel;F25KrimiRate;F26Nafri;F27Kopftuch;G0StundenTv;H28Aggresiver;H29Gebildet;H30FrauRespekt;H31TvGanoven;H32Gewalttaetig;H33GesetzVerst;I_sex;I_age;I_living_place;I_country
Fragebogen 1;4;4;4;2;3;2;4;4;1;4;4;4;4;4;4;4;4;4;1;4;4;4;4;4;4;2;2;3;4;4;4;4;4;3;3;4;4;4;3;4;1;4;4;4;4;4;4;1;26;Vienna;A
Fragebogen 2;3;1;1;2;3;4;4;4;4;2;3;4;4;3;3;4;4;3;1;4;3;4;3;3;2;2;1;3;2;4;2;4;4;3;4;3;3;2;1;2;2;4;4;3;2;4;3;1;22;Vienna;A
Fragebogen 3;4;4;4;1;1;3;4;4;2;1;4;4;4;4;4;4;2;2;1;3;2;3;2;3;2;3;3;2;3;2;3;2;3;2;3;2;3;2;3;1;1;2;3;2;3;2;3;1;21;Vienna;A
Fragebogen 4;4;4;2;2;4;4;4;4;4;2;3;4;4;4;4;4;4;4;1;4;4;4;4;4;4;1;2;4;4;4;4;4;4;4;4;4;4;4;2;4;1;4;4;4;4;4;4;2;22;Vienna;CH
Fragebogen 5;2;3;3;1;3;2;3;4;3;3;4;4;3;3;3;4;3;3;2;3;3;3;3;2;2;3;3;2;2;3;2;3;2;3;3;3;3;2;2;2;1;3;3;2;3;3;2;1;23;Vienna;A
Fragebogen 6;3;2;2;1;4;4;4;4;4;1;4;4;3;3;4;3;4;1;1;2;4;4;4;2;3;2;2;3;2;4;3;4;2;3;2;4;3;2;2;3;2;4;2;2;4;3;3;1;22;N?;A
Fragebogen 7;4;4;4;3;4;4;4;4;4;2;3;4;4;4;4;4;4;4;1;4;4;4;4;3;3;2;2;3;3;4;4;4;4;4;4;4;3;3;1;4;1;4;4;4;2;4;3;2;20;Vienna;A
Fragebogen 8;4;4;4;1;1;4;4;3;2;4;4;4;4;3;3;3;4;3;2;4;4;4;3;4;4;1;2;3;3;4;4;4;4;4;4;4;1;2;3;4;1;4;3;2;4;4;3;2;23;Vienna;A
Fragebogen 9;2;4;1;3;2;4;4;3;2;3;4;4;4;3;4;4;4;4;1;4;4;4;4;4;4;2;2;3;3;4;4;4;4;4;4;3;4;3;2;4;2;4;4;4;4;4;4;1;24;Vienna;A
Fragebogen 10;4;4;4;3;3;3;4;4;2;2;2;4;4;4;3;4;3;3;2;1;4;3;4;2;4;1;2;2;2;3;3;3;2;4;3;3;1;2;3;3;1;3;2;2;3;2;2;2;21;Vienna;A
